[31-07 16:40:11] [S1] 33.3, 62.1
[31-07 16:45:37] [S1] 33.3, 61.9
[31-07 16:50:38] [S1] 33.5, 60.0
[31-07 16:55:38] [S1] 33.5, 60.1
[31-07 17:00:39] [S1] 33.6, 58.5
[31-07 17:05:40] [S1] 33.8, 57.4
[31-07 17:10:40] [S1] 34.0, 57.1
[31-07 17:14:20] [S1] 34.1, 57.6
[31-07 17:29:08] [S1] 34.3, 55.9
[31-07 17:34:34] [S1] 34.4, 56.4
[31-07 17:39:35] [S1] 34.3, 56.6
[31-07 17:44:35] [S1] 34.3, 56.3
[31-07 17:49:36] [S1] 34.3, 56.4
[31-07 17:54:37] [S1] 34.3, 56.8
[31-07 17:59:37] [S1] 34.3, 56.7
[31-07 18:04:38] [S1] 34.2, 56.7
[31-07 18:09:39] [S1] 34.0, 57.2
[31-07 18:14:42] [S1] 33.6, 58.2
[31-07 18:17:15] [S1] 32.7, 62.1
[31-07 18:41:41] [S1] 32.7, 62.0
[31-07 18:47:07] [S1] 32.2, 64.4
[31-07 18:52:10] [S1] 32.5, 62.8
[31-07 18:57:11] [S1] 32.5, 60.0
[31-07 19:02:11] [S1] 32.4, 60.1
[31-07 19:07:12] [S1] 32.3, 59.2
[31-07 19:12:13] [S1] 32.3, 58.8
[31-07 19:17:13] [S1] 32.3, 60.3
[31-07 19:22:14] [S1] 32.4, 60.7
[31-07 19:27:14] [S1] 32.2, 60.8
[31-07 19:32:15] [S1] 32.1, 61.7
[31-07 19:37:16] [S1] 31.9, 61.7
[31-07 19:42:16] [S1] 31.9, 61.6
[31-07 19:47:17] [S1] 31.6, 63.1
[31-07 19:52:18] [S1] 31.7, 65.1
[31-07 19:57:18] [S1] 31.6, 62.8
[31-07 20:02:19] [S1] 31.6, 63.6
[31-07 20:07:19] [S1] 31.6, 60.5
[31-07 20:12:23] [S1] 31.5, 61.3
[31-07 20:17:23] [S1] 31.3, 62.0
[31-07 20:22:24] [S1] 31.1, 61.7
[31-07 20:27:24] [S1] 30.8, 63.0
[31-07 20:32:25] [S1] 30.7, 63.2
[31-07 20:37:28] [S1] 30.6, 62.2
[31-07 20:42:29] [S1] 30.6, 61.6
[31-07 20:47:32] [S1] 30.5, 60.6
[31-07 20:52:33] [S1] 30.5, 60.2
[31-07 20:57:33] [S1] 30.2, 55.2
[31-07 21:02:34] [S1] 29.9, 51.9
[31-07 21:07:35] [S1] 29.8, 52.7
[31-07 21:12:38] [S1] 29.8, 51.1
[31-07 21:17:38] [S1] 29.8, 50.2
[31-07 21:22:41] [S1] 29.7, 50.6
[31-07 21:27:42] [S1] 29.5, 50.5
[31-07 21:32:43] [S1] 29.4, 49.8
[31-07 21:37:43] [S1] 29.2, 49.3
[31-07 21:42:44] [S1] 29.2, 49.8
[31-07 21:47:47] [S1] 29.2, 48.4
[31-07 21:52:48] [S1] 29.1, 49.0
[31-07 21:57:51] [S1] 29.1, 49.4
[31-07 22:02:52] [S1] 29.0, 48.9
[31-07 22:07:52] [S1] 28.8, 49.3
[31-07 22:12:53] [S1] 28.9, 49.5
[31-07 22:17:53] [S1] 28.9, 50.1
[31-07 22:22:57] [S1] 28.9, 50.7
[31-07 22:27:57] [S1] 28.9, 49.7
[31-07 22:33:00] [S1] 28.7, 49.5
[31-07 22:38:01] [S1] 28.5, 49.4
[31-07 22:43:01] [S1] 28.5, 49.3
[31-07 22:48:02] [S1] 28.4, 49.8
[31-07 22:53:03] [S1] 28.5, 50.5
[31-07 22:58:06] [S1] 28.4, 53.9
[31-07 23:03:06] [S1] 28.4, 54.3
[31-07 23:08:07] [S1] 28.4, 55.2
[31-07 23:13:08] [S1] 28.3, 62.3
[31-07 23:18:08] [S1] 28.3, 63.2
[31-07 23:23:11] [S1] 28.3, 67.0
[31-07 23:28:12] [S1] 28.4, 71.4
[31-07 23:33:15] [S1] 28.3, 73.5
[31-07 23:38:16] [S1] 28.3, 73.8
[31-07 23:43:16] [S1] 28.0, 76.3
[31-07 23:48:17] [S1] 28.2, 76.2
[31-07 23:53:18] [S1] 28.1, 78.7
[31-07 23:58:21] [S1] 28.1, 80.0
[01-08 00:03:21] [S1] 28.2, 79.5
[01-08 00:08:24] [S1] 28.0, 72.2
[01-08 00:13:25] [S1] 27.9, 74.9
[01-08 00:18:26] [S1] 27.9, 78.7
[01-08 00:23:26] [S1] 27.8, 76.4
[01-08 00:28:27] [S1] 27.5, 69.0
[01-08 00:33:30] [S1] 27.3, 68.3
[01-08 00:38:31] [S1] 27.3, 69.4
[01-08 00:43:31] [S1] 27.3, 64.1
[01-08 00:48:32] [S1] 27.1, 61.4
[01-08 00:53:32] [S1] 27.2, 61.6
[01-08 00:58:33] [S1] 27.0, 63.1
[01-08 01:03:34] [S1] 27.1, 62.1
[01-08 01:08:34] [S1] 27.2, 62.0
[01-08 01:13:35] [S1] 27.0, 62.3
[01-08 01:18:36] [S1] 27.1, 62.5
[01-08 01:23:36] [S1] 27.1, 62.4
[01-08 01:28:37] [S1] 27.0, 63.2
[01-08 01:33:37] [S1] 27.0, 63.0
[01-08 01:38:38] [S1] 26.7, 63.2
[01-08 01:43:39] [S1] 26.8, 62.4
[01-08 01:48:39] [S1] 26.7, 63.3
[01-08 01:53:42] [S1] 26.8, 61.7
[01-08 01:58:43] [S1] 26.7, 60.1
[01-08 02:03:44] [S1] 26.6, 60.1
[01-08 02:08:44] [S1] 26.4, 58.6
[01-08 02:13:45] [S1] 26.5, 60.1
[01-08 02:18:48] [S1] 26.5, 59.3
[01-08 02:23:49] [S1] 26.6, 60.8
[01-08 02:28:49] [S1] 26.6, 63.7
[01-08 02:33:50] [S1] 26.6, 62.3
[01-08 02:38:50] [S1] 26.5, 62.6
[01-08 02:43:54] [S1] 26.3, 64.9
[01-08 02:48:54] [S1] 26.5, 65.9
[01-08 02:53:57] [S1] 26.3, 62.7
[01-08 02:58:58] [S1] 26.0, 59.6
[01-08 03:03:58] [S1] 25.9, 60.0
[01-08 03:08:59] [S1] 26.2, 59.8
[01-08 03:14:02] [S1] 26.1, 51.6
[01-08 03:19:03] [S1] 26.0, 55.1
[01-08 03:24:03] [S1] 26.1, 52.1
[01-08 03:29:04] [S1] 26.1, 52.9
[01-08 03:34:05] [S1] 26.2, 54.1
